urhobo,english
"1Vwẹ ọke nana Adam da rhe riẹn aye rọye Ivi, ọ da mrevun o de vwiẹ Ken, tanẹ, Mi vwiẹ ohwo vwẹ ọchuko rẹ Ọrovwohwo.",“I do not know.
"Vwẹ ọke nana Adam da rhe riẹn aye rọye Ivi, ọ da mrevun o de vwiẹ Ken, tanẹ, Mi vwiẹ ohwo vwẹ ọchuko rẹ Ọrovwohwo.",#1 Cor. 8:11–13
"2Obọ rivẹ o de vwiẹ oniọvo rọye Ebẹl. Ebẹl na kẹ igodẹ ochurẹ, Ken otọ kọye o voro.",1 Cor. 8:11–13
"Obọ rivẹ o de vwiẹ oniọvo rọye Ebẹl. Ebẹl na kẹ igodẹ ochurẹ, Ken otọ kọye o voro.",my brother’s keeper?”
3Rẹ ọke rhi vwo tere Ken da reyọ izobo rẹ emamọ rẹ otọ na vwo rhe Ọrovwohwo.,"10And He said, “What have you done? The voice of your brother’s blood#Num. 35:33; Deut. 21:1–9; Heb. 12:24; Rev. 6:9, 10cries out to Me from the ground."
Rẹ ọke rhi vwo tere Ken da reyọ izobo rẹ emamọ rẹ otọ na vwo rhe Ọrovwohwo.,"And He said, “What have you done? The voice of your brother’s blood"
"4Ebẹl da je vwẹ izobo rẹ upene rẹ uchuru rọye rọ pha sọkọ sọkọ vwo rhe Ọrovwohwo. Ọrovwohwo de mu ọghọ kẹ izobo rẹ Ebẹl,","#Num. 35:33; Deut. 21:1–9; Heb. 12:24; Rev. 6:9, 10"
"Ebẹl da je vwẹ izobo rẹ upene rẹ uchuru rọye rọ pha sọkọ sọkọ vwo rhe Ọrovwohwo. Ọrovwohwo de mu ọghọ kẹ izobo rẹ Ebẹl,","Num. 35:33; Deut. 21:1–9; Heb. 12:24; Rev. 6:9, 10"
5ẹkẹvuọvo ọ ri Ken o de no saka. Ivun de miovwi Ken gangan o de mu opharo phihọ.,cries out to Me from the ground.
ẹkẹvuọvo ọ ri Ken o de no saka. Ivun de miovwi Ken gangan o de mu opharo phihọ.,"11So now#Gen. 3:14; Deut. 11:28; 28:15–20; Gal. 3:10youarecursed from the earth, which has opened its mouth to receive your brother’s blood from your hand."
"6Ọrovwohwo da ta kẹ Ken, Die ivun vwo miovwo uwe, rẹ opharo wẹn vwọ dia tughẹ?",So now
"Ọrovwohwo da ta kẹ Ken, Die ivun vwo miovwo uwe, rẹ opharo wẹn vwọ dia tughẹ?",#Gen. 3:14; Deut. 11:28; 28:15–20; Gal. 3:10
"7Wọ riẹn ru nọ, ọ gbe rha jẹn wẹ reyọ? Wọ rha riẹn ru-u na, umwemwu fiọko vwọ anurhoro wẹn, wẹwẹ ọ guọnọ reyọ ẹkẹvuọvo pharhe wo phio kparobọ.",Gen. 3:14; Deut. 11:28; 28:15–20; Gal. 3:10
"Wọ riẹn ru nọ, ọ gbe rha jẹn wẹ reyọ? Wọ rha riẹn ru-u na, umwemwu fiọko vwọ anurhoro wẹn, wẹwẹ ọ guọnọ reyọ ẹkẹvuọvo pharhe wo phio kparobọ.",you
"8Ken da ta kẹ Ebẹl rẹ oniọvo rọye nẹ, Gbe jẹ avwanre kpo obo aghwa. Rẹ ayen vwọ obo aghwa re, Ken da vwọ so oniọvo rọye Ebẹl o de hwe ghwu.",are
"Ken da ta kẹ Ebẹl rẹ oniọvo rọye nẹ, Gbe jẹ avwanre kpo obo aghwa. Rẹ ayen vwọ obo aghwa re, Ken da vwọ so oniọvo rọye Ebẹl o de hwe ghwu.","cursed from the earth, which has opened its mouth to receive your brother’s blood from your hand."
"9Etiyin Ọrovwohwo da ta kẹ Ken, Tivọ Ebẹl rẹ oniọvo wẹn epha? Ọ da ta, Me riẹnre-e, mẹvwẹ re sẹro rẹ oniọvo mẹ?","12When you till the ground, it shall no longer yield its strength to you. A fugitive and a vagabond you shall be on the earth.”"
"Etiyin Ọrovwohwo da ta kẹ Ken, Tivọ Ebẹl rẹ oniọvo wẹn epha? Ọ da ta, Me riẹnre-e, mẹvwẹ re sẹro rẹ oniọvo mẹ?","When you till the ground, it shall no longer yield its strength to you. A fugitive and a vagabond you shall be on the earth.”"
"10Ọrovwohwo da ta, Die kọye wo ruru na? Urhuru rẹ ọbara rẹ oniọvo wẹn kperi nẹ otọ bru vwe rhe.","13And Cain said to theLord, “My punishmentisgreater than I can bear!"
"Ọrovwohwo da ta, Die kọye wo ruru na? Urhuru rẹ ọbara rẹ oniọvo wẹn kperi nẹ otọ bru vwe rhe.",And Cain said to the
"11Vwẹ enẹna a harhe owẹ eka nẹ otọ na rhe, ọto rhie unu rọye vwọ da ọbara rẹ oniọvo wẹn mie we.",", “My punishment"
"Vwẹ enẹna a harhe owẹ eka nẹ otọ na rhe, ọto rhie unu rọye vwọ da ọbara rẹ oniọvo wẹn mie we.",greater than I can bear!
"12Wo de voro otọ na, o gbi che yovwi emu kẹ wẹ-ẹ, ku wọ dia ọvwisusu kugbe osoghoro vwẹ evun rẹ akpọ na.","14Surely You have driven me out this day from the face of the ground;#Ps. 51:11I shall be#Deut. 31:18; Is. 1:15hidden from Your face; I shall be a fugitive and a vagabond on the earth, and it will happenthat#Gen. 9:6; Num. 35:19, 21, 27anyone who finds me will kill me.”"
"Wo de voro otọ na, o gbi che yovwi emu kẹ wẹ-ẹ, ku wọ dia ọvwisusu kugbe osoghoro vwẹ evun rẹ akpọ na.",Surely You have driven me out this day from the face of the ground;
"13Ken da ta kẹ Ọrovwohwo, Oja mẹ ọ rhonọ obo ri mi se chiri.",#Ps. 51:11
"Ken da ta kẹ Ọrovwohwo, Oja mẹ ọ rhonọ obo ri mi se chiri.",Ps. 51:11
"14Nighe wọ djẹ vwẹ nonẹ na vwo nẹ otọ na re, Me da mrẹ opharo wẹn ki mi sioma nẹ, ke Me dia ọvwisusu kugbe osoghoro vwẹ evun rẹ akpọ na, ohwo kohwo rọ mrẹ vwẹ ejobi ko hwe vwe.",I shall be
"Nighe wọ djẹ vwẹ nonẹ na vwo nẹ otọ na re, Me da mrẹ opharo wẹn ki mi sioma nẹ, ke Me dia ọvwisusu kugbe osoghoro vwẹ evun rẹ akpọ na, ohwo kohwo rọ mrẹ vwẹ ejobi ko hwe vwe.",#Deut. 31:18; Is. 1:15
"15Ọrovwohwo da ta kẹ nẹ, Ọ dia eriyi-in, ọ da dianẹ ohwo hwe Ken, ka re ihri akueghwrẹ vwẹ obọ rọye Ọrovwohwo da ka oka vwọi Ken, rere ohwo rọ mrẹrẹ vwo je hwe.",Deut. 31:18; Is. 1:15
"Ọrovwohwo da ta kẹ nẹ, Ọ dia eriyi-in, ọ da dianẹ ohwo hwe Ken, ka re ihri akueghwrẹ vwẹ obọ rọye Ọrovwohwo da ka oka vwọi Ken, rere ohwo rọ mrẹrẹ vwo je hwe.","hidden from Your face; I shall be a fugitive and a vagabond on the earth, and it will happen"
"16Ken da yan nẹ obaro rẹ Ọrovwohwo, ọ da ra dia otọ ri Nọd, vwẹ obọrhe rẹ Idẹn",that
"Ken da yan nẹ obaro rẹ Ọrovwohwo, ọ da ra dia otọ ri Nọd, vwẹ obọrhe rẹ Idẹn","#Gen. 9:6; Num. 35:19, 21, 27"
Uvwiẹ rẹ Ken,"Gen. 9:6; Num. 35:19, 21, 27"
"17Ken da riẹn aye rọye, ọ da mrevun o de vwiẹ Inọk, ọ da fan orere, o de mu odẹ rẹ ọmọ rọye se, Inọk.",anyone who finds me will kill me.”
"Ken da riẹn aye rọye, ọ da mrevun o de vwiẹ Inọk, ọ da fan orere, o de mu odẹ rẹ ọmọ rọye se, Inọk.","15And theLordsaid to him, “Therefore, whoever kills Cain, vengeance shall be taken on him#Gen. 4:24; Ps. 79:12sevenfold.” And theLordset a#Gen. 9:6; Ezek. 9:4, 6mark on Cain, lest anyone finding him should kill him."
"18Inọk de vwiẹ Irad, Irad kọye ọsẹ ri Mẹhujael, Mẹhujael kọye ọsẹ ri Mẹtushẹl, Mẹtushẹl kọye ọsẹ ri Lamẹk",And the
"Inọk de vwiẹ Irad, Irad kọye ọsẹ ri Mẹhujael, Mẹhujael kọye ọsẹ ri Mẹtushẹl, Mẹtushẹl kọye ọsẹ ri Lamẹk","said to him, “Therefore, whoever kills Cain, vengeance shall be taken on him"
"19Lamẹk da reyọ eya ivẹ, odẹ rẹ ọvo kẹ Ada, odẹ rẹ ọrivẹ ki Zila",#Gen. 4:24; Ps. 79:12
"Lamẹk da reyọ eya ivẹ, odẹ rẹ ọvo kẹ Ada, odẹ rẹ ọrivẹ ki Zila",Gen. 4:24; Ps. 79:12
"20Ada de vwiẹ Jabal, ọye ọsẹ rẹ ihwo re dia utughẹ ri ji churu uchuru.",sevenfold.” And the
"Ada de vwiẹ Jabal, ọye ọsẹ rẹ ihwo re dia utughẹ ri ji churu uchuru.",set a
"21Odẹ rẹ oniọvo rọye ki Jubal, kọye rha ọsẹ rẹ ihwo ri hworo isorogu vẹ owanre.","#Gen. 9:6; Ezek. 9:4, 6"
"Odẹ rẹ oniọvo rọye ki Jubal, kọye rha ọsẹ rẹ ihwo ri hworo isorogu vẹ owanre.","Gen. 9:6; Ezek. 9:4, 6"
22Zila de vwiẹ Tubal-Ken; kọye ogun ro duvwu erọvwo kugbe utehru Oniọvo ri Tubal-Ken rẹ ọmọtẹ ki Naama.,"mark on Cain, lest anyone finding him should kill him."
Zila de vwiẹ Tubal-Ken; kọye ogun ro duvwu erọvwo kugbe utehru Oniọvo ri Tubal-Ken rẹ ọmọtẹ ki Naama.,The Family of Cain
23Lamẹk da ta kẹ eya rọye:,16Then Cain#2 Kin. 13:23; 24:20; Jer. 23:39; 52:3went out from the#Jon. 1:3presence of theLordand dwelt in the land of Nod on the east of Eden.
Lamẹk da ta kẹ eya rọye:,Then Cain
"Ada vi Zila nyo urhuru mẹ,",#2 Kin. 13:23; 24:20; Jer. 23:39; 52:3
ovwan eya ri Lamẹk kerhọ rẹ obo re Me ta.,2 Kin. 13:23; 24:20; Jer. 23:39; 52:3
"Mi hwe ohwo rọ wan vwẹ oma,",went out from the
emeghene rọ ghwiẹ vwẹ.,#Jon. 1:3
"24A da re ihri ri Ken akueghwrẹ,",Jon. 1:3
"A da re ihri ri Ken akueghwrẹ,",presence of the
uyota ọ ri Lamẹk kẹ ujorha gbe ihwe akueghwrẹ.,and dwelt in the land of Nod on the east of Eden.
Uvwiẹ ri Sẹt,"17And Cain knew his wife, and she conceived and bore Ē´noch. And he built a city,#Ps. 49:11and called the name of the city after the name of his son—Ē´noch."
"25Adam da rhoma riẹn aye rọye, o de vwiẹ ọmọshare o de se odẹ rọye Sẹt, kidie ọ tare nẹ, Ọghẹnẹ kẹ vwẹ ohwo ọfa vwẹ ẹdia rẹ Ebẹl ri Ken hweri.","And Cain knew his wife, and she conceived and bore Ē´noch. And he built a city,"
"Adam da rhoma riẹn aye rọye, o de vwiẹ ọmọshare o de se odẹ rọye Sẹt, kidie ọ tare nẹ, Ọghẹnẹ kẹ vwẹ ohwo ọfa vwẹ ẹdia rẹ Ebẹl ri Ken hweri.",#Ps. 49:11
26Sẹt de rhe vwiẹ ọshare re se odẹ rọye Inọsh. Vwẹ ọke yena yẹ ihwo ghwe mu odẹ rẹ Ọghẹnẹ ese obọ.,Ps. 49:11
Sẹt de rhe vwiẹ ọshare re se odẹ rọye Inọsh. Vwẹ ọke yena yẹ ihwo ghwe mu odẹ rẹ Ọghẹnẹ ese obọ.,and called the name of the city after the name of his son—Ē´noch.
Cain Murders Abel,"18To Ē´noch was born Irad; and Irad begot Mehujael, and Mehujael begot Methushael, and Methushael begot Lamech."
"1Now Adam knew Eve his wife, and she conceived and bore Cain, and said, “I have acquired a man from theLord.”","To Ē´noch was born Irad; and Irad begot Mehujael, and Mehujael begot Methushael, and Methushael begot Lamech."
"Now Adam knew Eve his wife, and she conceived and bore Cain, and said, “I have acquired a man from the","19Then Lamech took for himself#Gen. 2:24; 16:3; 1 Tim. 3:2two wives: the name of onewasAdah, and the name of the secondwasZillah."
Lord,Then Lamech took for himself
"2Then she bore again, this time his brother Abel. Now#Luke 11:50, 51Abel was a keeper of sheep, but Cain was a tiller of the ground.",#Gen. 2:24; 16:3; 1 Tim. 3:2
"Then she bore again, this time his brother Abel. Now",Gen. 2:24; 16:3; 1 Tim. 3:2
"#Luke 11:50, 51",two wives: the name of one
"Luke 11:50, 51",was
"Abel was a keeper of sheep, but Cain was a tiller of the ground.","Adah, and the name of the second"
3And in the process of time it came to pass that Cain brought an offering of the fruit#Num. 18:12of the ground to theLord.,Zillah.
And in the process of time it came to pass that Cain brought an offering of the fruit,20And Adah bore Jabal. He was the father of those who dwell in tents and have livestock.
#Num. 18:12,And Adah bore Jabal. He was the father of those who dwell in tents and have livestock.
Num. 18:12,21His brother’s namewasJubal. He was the father of all those who play the harp and flute.
of the ground to the,His brother’s name
"4Abel also brought of#Num. 18:17the firstborn of his flock and of#Lev. 3:16their fat. And theLordrespected#Heb. 11:4Abel and his offering,",Jubal. He was the father of all those who play the harp and flute.
Abel also brought of,"22And as for Zillah, she also bore Tubal-Cain, an instructor of every craftsman in bronze and iron. And the sister of Tubal-CainwasNaamah."
#Num. 18:17,"And as for Zillah, she also bore Tubal-Cain, an instructor of every craftsman in bronze and iron. And the sister of Tubal-Cain"
Num. 18:17,Naamah.
the firstborn of his flock and of,23Then Lamech said to his wives:
#Lev. 3:16,Then Lamech said to his wives:
Lev. 3:16,"“Adah and Zillah, hear my voice;"
their fat. And the,"Wives of Lamech, listen to my speech!"
respected,"For I have killed a man for wounding me,"
#Heb. 11:4,Even a young man for hurting me.
Heb. 11:4,"24#Gen. 4:15If Cain shall be avenged sevenfold,"
"Abel and his offering,",#Gen. 4:15
"5but He did not respect Cain and his offering. And Cain was very angry, and his countenance fell.",Gen. 4:15
"but He did not respect Cain and his offering. And Cain was very angry, and his countenance fell.","If Cain shall be avenged sevenfold,"
"6So theLordsaid to Cain, “Why are you angry? And why has your countenance fallen?",Then Lamech seventy-sevenfold.”
So the,A New Son
"said to Cain, “Why are you angry? And why has your countenance fallen?","25And Adam knew his wife again, and she bore a son and#Gen. 5:3named him Seth, “For God has appointed another seed for me instead of Abel, whom Cain killed.”"
"7If you do well, will you not be accepted? And if you do not do well, sin lies at the door. And its desireisfor you, but you should rule over it.”","And Adam knew his wife again, and she bore a son and"
"If you do well, will you not be accepted? And if you do not do well, sin lies at the door. And its desire",#Gen. 5:3
"for you, but you should rule over it.”",Gen. 5:3
"8Now Cain talked with Abel his brother; and it came to pass, when they were in the field, that Cain rose up against Abel his brother and#Matt. 23:35; Luke 11:51; (1 John 3:12–15); Jude 11killed him.","named him Seth, “For God has appointed another seed for me instead of Abel, whom Cain killed.”"
"Now Cain talked with Abel his brother; and it came to pass, when they were in the field, that Cain rose up against Abel his brother and","26And as for Seth,#Gen. 5:6to him also a son was born; and he named him Ē´nosh. Thenmenbegan#Gen. 12:8; 26:25; 1 Kin. 18:24; Ps. 116:17; Joel 2:32; Zeph. 3:9; 1 Cor. 1:2to call on the name of theLord."
#Matt. 23:35; Luke 11:51; (1 John 3:12–15); Jude 11,"And as for Seth,"
Matt. 23:35; Luke 11:51; (1 John 3:12–15); Jude 11,#Gen. 5:6
killed him.,Gen. 5:6
"9Then theLordsaid to Cain, “WhereisAbel your brother?”",to him also a son was born; and he named him Ē´nosh. Then
Then the,men
"said to Cain, “Where",began
Abel your brother?”,#Gen. 12:8; 26:25; 1 Kin. 18:24; Ps. 116:17; Joel 2:32; Zeph. 3:9; 1 Cor. 1:2
"He said,#John 8:44“I do not know.AmI#1 Cor. 8:11–13my brother’s keeper?”",Gen. 12:8; 26:25; 1 Kin. 18:24; Ps. 116:17; Joel 2:32; Zeph. 3:9; 1 Cor. 1:2
"He said,",to call on the name of the
Search,the days of Adam were eight hundred years;
Uvwiẹ re Adam,#Gen. 1:28; 4:25
"1Ọnana ọbe rẹ uvwiẹ rẹ Adam. Vwẹ ọke rẹ Ọghẹnẹ vwọ ma ohwo, ọ da ma vwẹ uhoho rẹ Ọghẹnẹ",Gen. 1:28; 4:25
"Ọnana ọbe rẹ uvwiẹ rẹ Adam. Vwẹ ọke rẹ Ọghẹnẹ vwọ ma ohwo, ọ da ma vwẹ uhoho rẹ Ọghẹnẹ",and he had sons and daughters.
"2Ọshare vẹ aye ọ ma ayen, o de bruphihọ kẹ ayen, o de se odẹ rayen ohwo vwẹ ọke rọ vwọ ma ayen nu.",5So all the days that Adam lived were nine hundred and thirty years;#Gen. 2:17; 3:19; 6:17; (Heb. 9:27)and he died.
"Ọshare vẹ aye ọ ma ayen, o de bruphihọ kẹ ayen, o de se odẹ rayen ohwo vwẹ ọke rọ vwọ ma ayen nu.",So all the days that Adam lived were nine hundred and thirty years;
"3Ọke rẹ Adam vwọ dia ikpe ujosa gbẹ ihwe nu, ọ da rhe dia ọsẹ rẹ ọmọ ro vwiẹri họhọ oma rọye, kọye uhoho rọye, o de se ode rọye Sẹt.",#Gen. 2:17; 3:19; 6:17; (Heb. 9:27)
"Ọke rẹ Adam vwọ dia ikpe ujosa gbẹ ihwe nu, ọ da rhe dia ọsẹ rẹ ọmọ ro vwiẹri họhọ oma rọye, kọye uhoho rọye, o de se ode rọye Sẹt.",Gen. 2:17; 3:19; 6:17; (Heb. 9:27)
"4Ẹdẹ rẹ akpọ re Adam vwẹ ọke ro vwo vwiẹ Sẹt nu da dia ikpe uri ẹne, o de ji vwiẹ emeshare kugbe emetẹ efa",and he died.
"Ẹdẹ rẹ akpọ re Adam vwẹ ọke ro vwo vwiẹ Sẹt nu da dia ikpe uri ẹne, o de ji vwiẹ emeshare kugbe emetẹ efa","6Seth lived one hundred and five years, and begot Enosh."
5Kọye ẹdẹ rẹ akpọ rẹ Adam ejobi da dia ikpe uri ẹne gbe ujosa gbẹ ihwe; o ki rhi ghwu.,"Seth lived one hundred and five years, and begot Enosh."
Kọye ẹdẹ rẹ akpọ rẹ Adam ejobi da dia ikpe uri ẹne gbe ujosa gbẹ ihwe; o ki rhi ghwu.,"7After he begot#Gen. 4:26Enosh, Seth lived eight hundred and seven years, and had sons and daughters."
"6Ri Sẹt rhe vwọ dia ikpe ujọne gbẹ iyori nure, ọ da rhe dia ọsẹ ri Inọsh.",After he begot
"Ri Sẹt rhe vwọ dia ikpe ujọne gbẹ iyori nure, ọ da rhe dia ọsẹ ri Inọsh.",#Gen. 4:26
"7Sẹt vwo vwiẹ Inosh nu ọ da rhe dia akpọ na ikpe uri ẹne gbẹ ighwrẹ, o de vwiẹ emeshare kugbe emetẹ.",Gen. 4:26
"Sẹt vwo vwiẹ Inosh nu ọ da rhe dia akpọ na ikpe uri ẹne gbẹ ighwrẹ, o de vwiẹ emeshare kugbe emetẹ.","Enosh, Seth lived eight hundred and seven years, and had sons and daughters."
"8Kọye ẹdẹ ri Sẹt dia akpọ na ejobi da dia uri ẹne gbẹ ujosa gbẹ ihwivẹ, o de ghwu.",8So all the days of Seth were nine hundred and twelve years; and he died.
"Kọye ẹdẹ ri Sẹt dia akpọ na ejobi da dia uri ẹne gbẹ ujosa gbẹ ihwivẹ, o de ghwu.",So all the days of Seth were nine hundred and twelve years; and he died.
9Ri Inọsh vwọ dia akpọ ikpe ujọne gbe ihwe re ọ da rhe dia ọsẹ ri Kenan.,"9Enosh lived ninety years, and begot Cainan."
Ri Inọsh vwọ dia akpọ ikpe ujọne gbe ihwe re ọ da rhe dia ọsẹ ri Kenan.,"Enosh lived ninety years, and begot Cainan."
"10Rẹ Inọsh rhi vwo vwiẹ Kenan nu ọ da dia akpọ ikpe uri ẹne gbẹ ihwiori, o de rhe vwiẹ emeshare kugbe emetẹ efa.","10After he begot Cainan, Enosh lived eight hundred and fifteen years, and had sons and daughters."
"Rẹ Inọsh rhi vwo vwiẹ Kenan nu ọ da dia akpọ ikpe uri ẹne gbẹ ihwiori, o de rhe vwiẹ emeshare kugbe emetẹ efa.","After he begot Cainan, Enosh lived eight hundred and fifteen years, and had sons and daughters."
11Kọye ẹdẹ rẹ akpọ rẹ Inọsh ejobi da dia ikpe uri ẹne gbẹ iyori; o de ghwu.,11So all the days of Enosh were nine hundred and five years; and he died.
Kọye ẹdẹ rẹ akpọ rẹ Inọsh ejobi da dia ikpe uri ẹne gbẹ iyori; o de ghwu.,So all the days of Enosh were nine hundred and five years; and he died.
"12Ri Kenan vwọ dia ikpe ujorha gbẹ ihwe nure, ọ da rhe dia ọsẹ ri Mahalalẹl.","12Cainan lived seventy years, and begot Mahalalel."
"Ri Kenan vwọ dia ikpe ujorha gbẹ ihwe nure, ọ da rhe dia ọsẹ ri Mahalalẹl.","Cainan lived seventy years, and begot Mahalalel."
"13Kenan rhi vwo vwiẹ Mahalalẹl nu, ọke rhe dia akpọ na ikpe uri ẹne gbẹ ujuvẹ, o ki rhe vwiẹ emeshare kugbe emetẹ.","13After he begot Mahalalel, Cainan lived eight hundred and forty years, and had sons and daughters."
"Kenan rhi vwo vwiẹ Mahalalẹl nu, ọke rhe dia akpọ na ikpe uri ẹne gbẹ ujuvẹ, o ki rhe vwiẹ emeshare kugbe emetẹ.","After he begot Mahalalel, Cainan lived eight hundred and forty years, and had sons and daughters."
14Kọye ẹdẹ rẹ akpọ ri Kenan ejobi da dia ikpe uri ẹne gbẹ ujori gbẹ ihwe; o de ghwu.,14So all the days of Cainan were nine hundred and ten years; and he died.
Kọye ẹdẹ rẹ akpọ ri Kenan ejobi da dia ikpe uri ẹne gbẹ ujori gbẹ ihwe; o de ghwu.,So all the days of Cainan were nine hundred and ten years; and he died.
"15Ri Mahalalẹl vwọ dia akpọ ikpe ujorha gbe iyori nu, ọ da rhe dia ọsẹ ri Jared.","15Mahalalel lived sixty-five years, and begot Jared."
"Ri Mahalalẹl vwọ dia akpọ ikpe ujorha gbe iyori nu, ọ da rhe dia ọsẹ ri Jared.","Mahalalel lived sixty-five years, and begot Jared."
"16Mahalalẹl rhi vwo vwiẹ Jared nu ọ da dia akpọ na ikpe uri ẹne gbẹ ọgban, o de vwiẹ emeshare kugbe emetẹ efa.","16After he begot Jared, Mahalalel lived eight hundred and thirty years, and had sons and daughters."
"Mahalalẹl rhi vwo vwiẹ Jared nu ọ da dia akpọ na ikpe uri ẹne gbẹ ọgban, o de vwiẹ emeshare kugbe emetẹ efa.","After he begot Jared, Mahalalel lived eight hundred and thirty years, and had sons and daughters."
"17Kọye ẹdẹ rẹ akpọ ri Mahalalẹl ejobi da dia ikpe uri ẹne gbẹ ujọne gbẹ ihwe gbẹ iyori, o de ghwu.",17So all the days of Mahalalel were eight hundred and ninety-five years; and he died.
"Kọye ẹdẹ rẹ akpọ ri Mahalalẹl ejobi da dia ikpe uri ẹne gbẹ ujọne gbẹ ihwe gbẹ iyori, o de ghwu.",So all the days of Mahalalel were eight hundred and ninety-five years; and he died.
18Ọke ri Jared vwọ dia akpọ na ikpe ujọrenre gbe ivẹ nure ọ da rhe dia ọsẹ rẹ Inọk.,"18Jared lived one hundred and sixty-two years, and begot#Jude 14, 15Enoch."
Ọke ri Jared vwọ dia akpọ na ikpe ujọrenre gbe ivẹ nure ọ da rhe dia ọsẹ rẹ Inọk.,"Jared lived one hundred and sixty-two years, and begot"
"19Jared rhi vwo vwiẹ Inọk nu, ọ da dia akpọ na ikpe uri ẹne, o de rhi vwiẹ emeshare kugbe emetẹ efa.","#Jude 14, 15"
"Jared rhi vwo vwiẹ Inọk nu, ọ da dia akpọ na ikpe uri ẹne, o de rhi vwiẹ emeshare kugbe emetẹ efa.","Jude 14, 15"
"20Kọye ẹdẹ rẹ akpọ ri Jared ejobi da dia uri ẹne gbẹ ujọrenre gbẹ ivẹ, o de ghwu.",Enoch.
"Kọye ẹdẹ rẹ akpọ ri Jared ejobi da dia uri ẹne gbẹ ujọrenre gbẹ ivẹ, o de ghwu.","19After he begot Enoch, Jared lived eight hundred years, and had sons and daughters."
"21Ri Inọk vwọ dia akpọ ikpe ujorha gbe iyori nu, ọ da rhe dia ọsẹ ri Metusela.","After he begot Enoch, Jared lived eight hundred years, and had sons and daughters."
"Ri Inọk vwọ dia akpọ ikpe ujorha gbe iyori nu, ọ da rhe dia ọsẹ ri Metusela.",20So all the days of Jared were nine hundred and sixty-two years; and he died.
22Inọk da yan nene Ọghẹnẹ ro vwo vwiẹ Metusela nu ikpe uri gbe ujori o de vwiẹ emeshare kugbe emetẹ efa,So all the days of Jared were nine hundred and sixty-two years; and he died.
Inọk da yan nene Ọghẹnẹ ro vwo vwiẹ Metusela nu ikpe uri gbe ujori o de vwiẹ emeshare kugbe emetẹ efa,"21Enoch lived sixty-five years, and begot Methuselah."
23Kọye ẹdẹ rẹ akpọ rẹ Inọk ejobi da dia uri gbe ujorenre gbe iyori.,"Enoch lived sixty-five years, and begot Methuselah."
Kọye ẹdẹ rẹ akpọ rẹ Inọk ejobi da dia uri gbe ujorenre gbe iyori.,"22After he begot Methuselah, Enoch#Gen. 6:9; 17:1; 24:40; 48:15; 2 Kin. 20:3; Ps. 16:8; (Mic. 6:8); Mal. 2:6; 1 Thess. 2:12; (Heb. 11:39)walked with God three hundred years, and had sons and daughters."
"24Inọk da yan nene Ọghẹnẹ o gbi ghwu-u, fikiridie Ọghẹnẹ reyerọ.","After he begot Methuselah, Enoch"
"Inọk da yan nene Ọghẹnẹ o gbi ghwu-u, fikiridie Ọghẹnẹ reyerọ.",#Gen. 6:9; 17:1; 24:40; 48:15; 2 Kin. 20:3; Ps. 16:8; (Mic. 6:8); Mal. 2:6; 1 Thess. 2:12; (Heb. 11:39)
"25Ọke ri Metusela vwọ dia akpọ ikpe ujurhiri gbe ighwrẹ re, ọ da rhe dia ọsẹ ri Lamẹk.",Gen. 6:9; 17:1; 24:40; 48:15; 2 Kin. 20:3; Ps. 16:8; (Mic. 6:8); Mal. 2:6; 1 Thess. 2:12; (Heb. 11:39)
"Ọke ri Metusela vwọ dia akpọ ikpe ujurhiri gbe ighwrẹ re, ọ da rhe dia ọsẹ ri Lamẹk.","walked with God three hundred years, and had sons and daughters."
"26Metusela rhi vwo vwiẹ Lamẹk nu, ọ da dia ikpe uri erha gbẹ ujurhiri gbẹ ivẹ, o de vwiẹ emeshare kugbe emetẹ efa.",23So all the days of Enoch were three hundred and sixty-five years.
"Metusela rhi vwo vwiẹ Lamẹk nu, ọ da dia ikpe uri erha gbẹ ujurhiri gbẹ ivẹ, o de vwiẹ emeshare kugbe emetẹ efa.",So all the days of Enoch were three hundred and sixty-five years.
"27Kọye ẹdẹ rẹ akpọ ri Metusela ejobi da dia ikpe uri ẹne gbẹ ujọrenre gbẹ irhiri, o de ghwu.","24And#2 Kin. 2:11; Jude 14Enoch walked with God; and hewasnot, for God#2 Kin. 2:10; Ps. 49:15; 73:24; Heb. 11:5took him."
"Kọye ẹdẹ rẹ akpọ ri Metusela ejobi da dia ikpe uri ẹne gbẹ ujọrenre gbẹ irhiri, o de ghwu.",And
"28Re Lamẹk vwọ dia akpọ ikpe ujurhiri gbẹ ivẹ nure, ọ da rhe dia ọsẹ rẹ ọmọshare,",#2 Kin. 2:11; Jude 14
"Re Lamẹk vwọ dia akpọ ikpe ujurhiri gbẹ ivẹ nure, ọ da rhe dia ọsẹ rẹ ọmọshare,",2 Kin. 2:11; Jude 14
"29o de se odẹ rọye Noa, tanẹ, Vwẹ evun rẹ otọ rẹ Ọrovwohwo harhere na ọye Ọnana che nurhe rhe kẹ avwanre omaerovwo nẹ iruo vẹ owian rẹ abọ rẹ avwanre.",Enoch walked with God; and he
"o de se odẹ rọye Noa, tanẹ, Vwẹ evun rẹ otọ rẹ Ọrovwohwo harhere na ọye Ọnana che nurhe rhe kẹ avwanre omaerovwo nẹ iruo vẹ owian rẹ abọ rẹ avwanre.",was
